Ano,Cor,Nº Questão,Gabarito,Sigla da Área,Área,Língua,Habilidade,Item Abandonado,Motivo Abandono,Item Adaptado,Parâmetro A,Parâmetro B,Parâmetro C,Itens,Provas,Versão Digital
2014,Azul,11,A,CH,Linguagens e Códigos,,24,0,,,2.31205,0.41073,0.18311,25454,195,
2014,Azul,12,A,CH,Linguagens e Códigos,,23,0,,,2.10172,0.70392,0.15742,30991,195,
2014,Azul,13,B,CH,Linguagens e Códigos,,26,0,,,0.89886,0.64478,0.23257,25354,195,
2014,Azul,14,B,CH,Linguagens e Códigos,,12,0,,,3.09471,0.52391,0.1787,24800,195,
2014,Azul,15,E,CH,Linguagens e Códigos,,11,0,,,1.61838,2.20531,0.22184,11476,195,
2014,Azul,16,C,CH,Linguagens e Códigos,,5,0,,,2.49341,0.82321,0.18585,42142,195,
2014,Azul,17,B,CH,Linguagens e Códigos,,22,0,,,0.34104,0.60682,0.16604,44452,195,
2014,Azul,18,C,CH,Linguagens e Códigos,,11,0,,,1.72415,0.43534,13.0,49583,195,
2014,Azul,19,C,CH,Linguagens e Códigos,,4,0,,,3.64335,0.41592,0.21298,24631,195,
2014,Azul,20,E,CH,Linguagens e Códigos,,27,0,,,1.38636,0.82831,0.06684,55791,195,
2014,Azul,21,A,CH,Linguagens e Códigos,,13,0,,,1.21691,-0.05997,0.20758,38143,195,
2014,Azul,22,D,CH,Linguagens e Códigos,,27,0,,,2.60708,2.30179,0.14975,15260,195,
2014,Azul,23,B,CH,Linguagens e Códigos,,7,0,,,2.88684,0.37426,0.27551,56013,195,
2014,Azul,24,A,CH,Linguagens e Códigos,,1,0,,,1.4864,0.78624,0.0483,63472,195,
2014,Azul,25,B,CH,Linguagens e Códigos,,1,0,,,1.64831,1.90451,0.09338,66217,195,
2014,Azul,26,D,CH,Linguagens e Códigos,,6,0,,,2.85822,1.20972,0.1217,54668,195,
2014,Azul,27,E,CH,Linguagens e Códigos,,19,0,,,2.0277,1.48294,0.15376,63269,195,
2014,Azul,28,E,CH,Linguagens e Códigos,,24,0,,,1.35744,1.07,0.24935,24456,195,
2014,Azul,29,C,CH,Linguagens e Códigos,,15,0,,,1.94892,2.27327,0.12949,8831,195,
2014,Azul,30,A,CH,Linguagens e Códigos,,25,0,,,2.79763,0.6892,0.17227,67091,195,
2014,Azul,31,A,CH,Linguagens e Códigos,,2,0,,,0.89558,2.01594,0.25981,38733,195,
2014,Azul,32,D,CH,Linguagens e Códigos,,10,0,,,1.84372,1.40633,0.05687,68462,195,
2014,Azul,33,E,CH,Linguagens e Códigos,,10,0,,,1.8402,1.23224,0.15407,68887,195,
2014,Azul,34,C,CH,Linguagens e Códigos,,28,0,,,1.16371,1.90465,0.24597,47424,195,
2014,Azul,35,E,CH,Linguagens e Códigos,,29,0,,,1.96287,1.96008,0.12172,66895,195,
2014,Azul,36,D,CH,Linguagens e Códigos,,6,0,,,1.37171,1.33586,0.07794,68255,195,
2014,Azul,37,C,CH,Linguagens e Códigos,,9,0,,,2.44388,1.16416,0.17099,25323,195,
2014,Azul,38,E,CH,Linguagens e Códigos,,30,0,,,1.59948,2.30342,178.0,48878,195,
2014,Azul,39,B,CH,Linguagens e Códigos,,13,0,,,2.20052,1.38117,0.13293,67274,195,
2014,Azul,40,D,CH,Linguagens e Códigos,,29,0,,,2.55496,1.69571,0.07739,26036,195,
2014,Azul,41,B,CH,Linguagens e Códigos,,21,0,,,2.65576,1.42138,0.17486,37340,195,
2014,Azul,42,A,CH,Linguagens e Códigos,,14,0,,,2.35318,1.4709,0.20182,68434,195,
2014,Azul,43,B,CH,Linguagens e Códigos,,8,0,,,4.04769,1.4331,0.1523,55399,195,
2014,Azul,44,C,CH,Linguagens e Códigos,,9,0,,,2.85672,1.6576,0.08903,54534,195,
2014,Azul,45,A,CH,Linguagens e Códigos,,15,0,,,1.28675,1.26525,0.19317,24561,195,
2014,Azul,46,A,CN,Linguagens e Códigos,,1,0,,,2.85384,1.92589,0.14505,26717,199,
2014,Azul,47,D,CN,Linguagens e Códigos,,30,0,,,2.32748,1.18738,0.21921,18675,199,
2014,Azul,48,B,CN,Linguagens e Códigos,,10,0,,,2.58476,2.04165,0.18553,54893,199,
2014,Azul,49,D,CN,Linguagens e Códigos,,23,0,,,2.03602,0.51719,0.17893,24942,199,
2014,Azul,50,D,CN,Linguagens e Códigos,,2,0,,,1.55006,2.1268,0.31822,27251,199,
2014,Azul,51,A,CN,Linguagens e Códigos,,8,1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,,49314,199,
2014,Azul,52,D,CN,Linguagens e Códigos,,18,0,,,2.05475,0.78035,0.16771,13968,199,
2014,Azul,53,A,CN,Linguagens e Códigos,,3,1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,,45270,199,
2014,Azul,54,B,CN,Linguagens e Códigos,,4,0,,,1.33877,1.75228,0.26349,32724,199,
2014,Azul,55,C,CN,Linguagens e Códigos,,6,0,,,3.01003,0.95877,0.18229,39365,199,
2014,Azul,56,D,CN,Linguagens e Códigos,,26,0,,,1.76036,0.97713,0.09657,39367,199,
2014,Azul,57,C,CN,Linguagens e Códigos,,5,0,,,2.2501,1.58493,0.18067,37142,199,
2014,Azul,58,B,CN,Linguagens e Códigos,,24,0,,,4.94938,1.96591,0.17837,7222,199,
2014,Azul,59,D,CN,Linguagens e Códigos,,25,0,,,2.59396,2.34787,0.16309,40364,199,
2014,Azul,60,C,CN,Linguagens e Códigos,,14,0,,,3.50522,0.66203,0.15933,39933,199,
2014,Azul,61,B,CN,Linguagens e Códigos,,28,0,,,1.19827,2.97259,0.28509,59611,199,
2014,Azul,62,E,CN,Linguagens e Códigos,,21,0,,,2.18334,2.8549,0.11594,18105,199,
